id,country,macroarea,area,sex,agegroup,educ,hhsize_grp,foreign_born,cnt_weekday,cnt_count_30,cnt_count_gc_30,cnt_count_w_30,worn_face_mask,threat_community_q,threat_personal_q,d.weight
6749,DE,Süddeutschland,Baden-Württemberg,Female,60-64,Secondary,2pp.,0,Donnerstag,19,0,18,0,H,H,0.8553846757926258
10584,DE,Süddeutschland,Baden-Württemberg,Female,60-64,GraduateOrMore,3pp.+,0,Freitag,10,0,8,1,H,L,0.8553846757926258
11746,DE,Süddeutschland,Baden-Württemberg,Female,60-64,Secondary,2pp.,0,Freitag,1,0,0,1,H,H,0.8553846757926258
13617,DE,Süddeutschland,Baden-Württemberg,Female,60-64,Secondary,2pp.,0,Samstag,4,1,2,0,H,H,0.8553846757926258
10659,DE,Süddeutschland,Baden-Württemberg,Female,60-64,GraduateOrMore,1p.,0,Freitag,7,5,2,0,H,H,0.8553846757926258
11687,DE,Süddeutschland,Baden-Württemberg,Female,65-69,Secondary,3pp.+,0,Freitag,1,0,0,NA,H,H,1.8097676849426283
8320,DE,Süddeutschland,Baden-Württemberg,Female,65-69,GraduateOrMore,2pp.,0,Donnerstag,3,2,0,0,H,H,1.8097676849426283
12148,DE,Süddeutschland,Baden-Württemberg,Female,65-69,GraduateOrMore,3pp.+,1,Freitag,7,3,0,0,H,H,1.8097676849426283
11326,DE,Süddeutschland,Baden-Württemberg,Female,65-69,Secondary,2pp.,0,Freitag,13,1,11,1,H,H,0.8553846757926258
7752,DE,Süddeutschland,Baden-Württemberg,Female,65-69,GraduateOrMore,2pp.,0,Donnerstag,2,1,0,0,H,H,0.8553846757926258
13157,DE,Süddeutschland,Baden-Württemberg,Female,65-69,Secondary,1p.,1,Samstag,1,1,0,0,H,L,1.8097676849426283
12276,DE,Süddeutschland,Baden-Württemberg,Female,70-74,PrimaryOrLess,1p.,0,Samstag,0,0,0,1,H,H,1.8097676849426283
13154,DE,Süddeutschland,Baden-Württemberg,Female,70-74,GraduateOrMore,1p.,0,Samstag,0,0,0,0,H,H,1.8097676849426283
11298,DE,Süddeutschland,Baden-Württemberg,Female,70-74,Secondary,1p.,0,Freitag,2,1,0,0,NA,NA,1.8097676849426283
13342,DE,Süddeutschland,Baden-Württemberg,Female,70-74,GraduateOrMore,1p.,0,Samstag,4,4,0,1,H,H,1.8097676849426283
12983,DE,Süddeutschland,Baden-Württemberg,Female,70-74,Secondary,1p.,0,Samstag,0,0,0,0,H,H,1.8097676849426283
10647,DE,Süddeutschland,Baden-Württemberg,Female,75+,Secondary,1p.,0,Freitag,3,1,0,0,NA,H,1.8097676849426283
12612,DE,Süddeutschland,Baden-Württemberg,Male,18-24,Secondary,1p.,0,Samstag,0,0,0,0,L,H,1.9076789114164479
