country,area,sex,agegroup,count
DE,Hessen,Female,40-44,193800
DE,Hessen,Female,45-49,207049
DE,Hessen,Female,50-54,255247
DE,Hessen,Female,55-59,248301
DE,Hessen,Female,60-64,207831
DE,Hessen,Female,65-69,182396
DE,Hessen,Female,70-74,148619
DE,Hessen,Female,75+,396528
DE,Hessen,Male,0-17,541868
DE,Hessen,Male,18-24,258400
DE,Hessen,Male,25-29,206474
DE,Hessen,Male,30-34,211610
DE,Hessen,Male,35-39,201164
DE,Hessen,Male,40-44,190153
DE,Hessen,Male,45-49,205496
DE,Hessen,Male,50-54,259219
DE,Hessen,Male,55-59,249566
DE,Hessen,Male,60-64,201745
DE,Hessen,Male,65-69,165201
DE,Hessen,Male,70-74,131964
DE,Hessen,Male,75+,282400
DE,Hessen,Total,0-17,1054349
DE,Hessen,Total,18-24,493457
DE,Hessen,Total,25-29,399739
DE,Hessen,Total,30-34,412688
DE,Hessen,Total,35-39,402332
DE,Hessen,Total,40-44,383953
DE,Hessen,Total,45-49,412545
DE,Hessen,Total,50-54,514466
DE,Hessen,Total,55-59,497867
DE,Hessen,Total,60-64,409576
DE,Hessen,Total,65-69,347597
DE,Hessen,Total,70-74,280583
DE,Hessen,Total,75+,678928
DE,Mecklenburg-Vorpommern,Female,0-17,119649
DE,Mecklenburg-Vorpommern,Female,18-24,42864
DE,Mecklenburg-Vorpommern,Female,25-29,31610
DE,Mecklenburg-Vorpommern,Female,30-34,50730
DE,Mecklenburg-Vorpommern,Female,35-39,49201
DE,Mecklenburg-Vorpommern,Female,40-44,43382
DE,Mecklenburg-Vorpommern,Female,45-49,43490
DE,Mecklenburg-Vorpommern,Female,50-54,60636
DE,Mecklenburg-Vorpommern,Female,55-59,74718
DE,Mecklenburg-Vorpommern,Female,60-64,68833
DE,Mecklenburg-Vorpommern,Female,65-69,63842
DE,Mecklenburg-Vorpommern,Female,70-74,37214
DE,Mecklenburg-Vorpommern,Female,75+,129357
DE,Mecklenburg-Vorpommern,Male,0-17,125431
DE,Mecklenburg-Vorpommern,Male,18-24,47294
DE,Mecklenburg-Vorpommern,Male,25-29,34649
DE,Mecklenburg-Vorpommern,Male,30-34,54839
DE,Mecklenburg-Vorpommern,Male,35-39,53766
DE,Mecklenburg-Vorpommern,Male,40-44,49156
DE,Mecklenburg-Vorpommern,Male,45-49,47581
DE,Mecklenburg-Vorpommern,Male,50-54,62310
DE,Mecklenburg-Vorpommern,Male,55-59,74962
DE,Mecklenburg-Vorpommern,Male,60-64,66667
DE,Mecklenburg-Vorpommern,Male,65-69,59476
DE,Mecklenburg-Vorpommern,Male,70-74,33094
DE,Mecklenburg-Vorpommern,Male,75+,83387
DE,Mecklenburg-Vorpommern,Total,0-17,245080
DE,Mecklenburg-Vorpommern,Total,18-24,90158
DE,Mecklenburg-Vorpommern,Total,25-29,66259
DE,Mecklenburg-Vorpommern,Total,30-34,105569
DE,Mecklenburg-Vorpommern,Total,35-39,102967
DE,Mecklenburg-Vorpommern,Total,40-44,92538
DE,Mecklenburg-Vorpommern,Total,45-49,91071
DE,Mecklenburg-Vorpommern,Total,50-54,122946
DE,Mecklenburg-Vorpommern,Total,55-59,149680
DE,Mecklenburg-Vorpommern,Total,60-64,135500
DE,Mecklenburg-Vorpommern,Total,65-69,123318
DE,Mecklenburg-Vorpommern,Total,70-74,70308
DE,Mecklenburg-Vorpommern,Total,75+,212744
DE,Niedersachsen,Female,0-17,647517
DE,Niedersachsen,Female,18-24,299851
DE,Niedersachsen,Female,25-29,225308
DE,Niedersachsen,Female,30-34,233977
DE,Niedersachsen,Female,35-39,232760
DE,Niedersachsen,Female,40-44,225851
DE,Niedersachsen,Female,45-49,258585
DE,Niedersachsen,Female,50-54,334428
DE,Niedersachsen,Female,55-59,328582
DE,Niedersachsen,Female,60-64,275763
DE,Niedersachsen,Female,65-69,243043
DE,Niedersachsen,Female,70-74,193122
DE,Niedersachsen,Female,75+,547250
DE,Niedersachsen,Male,0-17,684525
DE,Niedersachsen,Male,18-24,331937
DE,Niedersachsen,Male,25-29,250345
DE,Niedersachsen,Male,30-34,249786
DE,Niedersachsen,Male,35-39,234782
DE,Niedersachsen,Male,40-44,224499
DE,Niedersachsen,Male,45-49,254802
DE,Niedersachsen,Male,50-54,336501
DE,Niedersachsen,Male,55-59,326741
DE,Niedersachsen,Male,60-64,268009
DE,Niedersachsen,Male,65-69,226122
DE,Niedersachsen,Male,70-74,175799
DE,Niedersachsen,Male,75+,383723
DE,Niedersachsen,Total,0-17,1332042
DE,Niedersachsen,Total,18-24,631788
DE,Niedersachsen,Total,25-29,475653
DE,Niedersachsen,Total,30-34,483763
DE,Niedersachsen,Total,35-39,467542
DE,Niedersachsen,Total,40-44,450350
DE,Niedersachsen,Total,45-49,513387
DE,Niedersachsen,Total,50-54,670929
DE,Niedersachsen,Total,55-59,655323
DE,Niedersachsen,Total,60-64,543772
DE,Niedersachsen,Total,65-69,469165
DE,Niedersachsen,Total,70-74,368921
DE,Niedersachsen,Total,75+,930973
DE,Nordrhein-Westfalen,Female,0-17,1458687
DE,Nordrhein-Westfalen,Female,18-24,679427
DE,Nordrhein-Westfalen,Female,25-29,551260
DE,Nordrhein-Westfalen,Female,30-34,561838
DE,Nordrhein-Westfalen,Female,35-39,548971
DE,Nordrhein-Westfalen,Female,40-44,524059
DE,Nordrhein-Westfalen,Female,45-49,576320
DE,Nordrhein-Westfalen,Female,50-54,740570
DE,Nordrhein-Westfalen,Female,55-59,727834
DE,Nordrhein-Westfalen,Female,60-64,621810
DE,Nordrhein-Westfalen,Female,65-69,533751
DE,Nordrhein-Westfalen,Female,70-74,419358
DE,Nordrhein-Westfalen,Female,75+,1197362
DE,Nordrhein-Westfalen,Male,0-17,1549433
DE,Nordrhein-Westfalen,Male,18-24,741736
DE,Nordrhein-Westfalen,Male,25-29,589408
DE,Nordrhein-Westfalen,Male,30-34,583409
DE,Nordrhein-Westfalen,Male,35-39,550037
DE,Nordrhein-Westfalen,Male,40-44,512735
DE,Nordrhein-Westfalen,Male,45-49,565762
DE,Nordrhein-Westfalen,Male,50-54,742798
DE,Nordrhein-Westfalen,Male,55-59,723418
DE,Nordrhein-Westfalen,Male,60-64,597598
DE,Nordrhein-Westfalen,Male,65-69,478189
DE,Nordrhein-Westfalen,Male,70-74,362775
DE,Nordrhein-Westfalen,Male,75+,808676
DE,Nordrhein-Westfalen,Total,0-17,3008120
DE,Nordrhein-Westfalen,Total,18-24,1421163
DE,Nordrhein-Westfalen,Total,25-29,1140668
DE,Nordrhein-Westfalen,Total,30-34,1145247
DE,Nordrhein-Westfalen,Total,35-39,1099008
DE,Nordrhein-Westfalen,Total,40-44,1036794
DE,Nordrhein-Westfalen,Total,45-49,1142082
DE,Nordrhein-Westfalen,Total,50-54,1483368
DE,Nordrhein-Westfalen,Total,55-59,1451252
DE,Nordrhein-Westfalen,Total,60-64,1219408
DE,Nordrhein-Westfalen,Total,65-69,1011940
DE,Nordrhein-Westfalen,Total,70-74,782133
DE,Nordrhein-Westfalen,Total,75+,2006038
DE,Rheinland-Pfalz,Female,0-17,322463
DE,Rheinland-Pfalz,Female,18-24,149520
DE,Rheinland-Pfalz,Female,25-29,118610
DE,Rheinland-Pfalz,Female,30-34,122629
DE,Rheinland-Pfalz,Female,35-39,121931
DE,Rheinland-Pfalz,Female,40-44,115787
DE,Rheinland-Pfalz,Female,45-49,128725
DE,Rheinland-Pfalz,Female,50-54,168132
DE,Rheinland-Pfalz,Female,55-59,174440
DE,Rheinland-Pfalz,Female,60-64,149620
DE,Rheinland-Pfalz,Female,65-69,131717
DE,Rheinland-Pfalz,Female,70-74,95382
DE,Rheinland-Pfalz,Female,75+,271943
DE,Rheinland-Pfalz,Male,0-17,342251
DE,Rheinland-Pfalz,Male,18-24,162968
DE,Rheinland-Pfalz,Male,25-29,129843
DE,Rheinland-Pfalz,Male,30-34,130832
DE,Rheinland-Pfalz,Male,35-39,124312
DE,Rheinland-Pfalz,Male,40-44,115354
DE,Rheinland-Pfalz,Male,45-49,126447
DE,Rheinland-Pfalz,Male,50-54,168949
