country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Baden-Württemberg,Female,70-74,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,70-74,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Female,70-74,2-Secondary,2pp.,106490.53621112759,80320.28835110883,0.0015519914673400067
DE,Baden-Württemberg,Female,70-74,2-Secondary,3pp.+,0,0,0
DE,Baden-Württemberg,Female,70-74,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,70-74,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Female,70-74,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Female,75+,1-PrimaryOrLess,1p.,73009.27035129492,73009.27035129492,0.001064036004075349
DE,Baden-Württemberg,Female,75+,1-PrimaryOrLess,2pp.,73009.27035129492,73009.27035129492,0.001064036004075349
DE,Baden-Württemberg,Female,75+,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,75+,2-Secondary,1p.,279943.60414192046,73259.24245655093,0.004079893861209328
DE,Baden-Württemberg,Female,75+,2-Secondary,2pp.,133925.06343933064,47349.66026439464,0.0019518218530586305
DE,Baden-Württemberg,Female,75+,2-Secondary,3pp.+,33481.26585983266,33481.26585983267,4.8795546326465763e-4
DE,Baden-Württemberg,Female,75+,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,75+,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Female,75+,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Male,18-24,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,18-24,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,18-24,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,18-24,2-Secondary,1p.,75819.36022651178,53621.40073436963,0.001104990211500397
DE,Baden-Württemberg,Male,18-24,2-Secondary,2pp.,114424.35470646725,66072.68887757823,0.0016676188183355858
DE,Baden-Württemberg,Male,18-24,2-Secondary,3pp.+,465646.50984396506,122981.15275751807,0.006786325205854046
DE,Baden-Württemberg,Male,18-24,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,18-24,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Male,18-24,3-GraduateOrMore,3pp.+,47944.7142314507,33902.03255510997,6.987455415168725e-4
DE,Baden-Württemberg,Male,25-29,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,25-29,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,25-29,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,25-29,2-Secondary,1p.,75819.36022651178,53621.40073436963,0.001104990211500397
DE,Baden-Württemberg,Male,25-29,2-Secondary,2pp.,0,0,0
DE,Baden-Württemberg,Male,25-29,2-Secondary,3pp.+,77209.98895991096,54595.70676889151,0.001125257213670378
DE,Baden-Württemberg,Male,25-29,3-GraduateOrMore,1p.,71917.07134717605,41521.34050162163,0.001048118312275309
DE,Baden-Württemberg,Male,25-29,3-GraduateOrMore,2pp.,71917.07134717605,41521.34050162163,0.001048118312275309
DE,Baden-Württemberg,Male,25-29,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Male,30-34,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,30-34,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,30-34,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,30-34,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Male,30-34,2-Secondary,2pp.,62577.351595680826,45442.48567674596,9.120013775936253e-4
DE,Baden-Württemberg,Male,30-34,2-Secondary,3pp.+,77209.98895991096,54595.70676889151,0.001125257213670378
DE,Baden-Württemberg,Male,30-34,3-GraduateOrMore,1p.,23972.35711572535,23972.357115725354,3.4937277075843627e-4
DE,Baden-Württemberg,Male,30-34,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Male,30-34,3-GraduateOrMore,3pp.+,23972.35711572535,23972.357115725354,3.4937277075843627e-4
DE,Baden-Württemberg,Male,35-39,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,35-39,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,35-39,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,35-39,2-Secondary,1p.,71446.28261730044,51818.072333742275,0.0010412570444323318
DE,Baden-Württemberg,Male,35-39,2-Secondary,2pp.,115318.87085409746,67896.36675832137,0.0016806554831690463
DE,Baden-Württemberg,Male,35-39,2-Secondary,3pp.+,115318.87085409746,27573.69438050344,0.0016806554831690463
DE,Baden-Württemberg,Male,35-39,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,35-39,3-GraduateOrMore,2pp.,27573.694380503435,27573.69438050344,4.0185860569561774e-4
DE,Baden-Württemberg,Male,35-39,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Male,40-44,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,40-44,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,40-44,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,40-44,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Male,40-44,2-Secondary,2pp.,43872.58823679701,43872.58823679701,6.393984387367142e-4
